claim,sorted_cord_uids
We know that COVID-19 is a coronavirus and there are other types of human coronaviruses that circulate. ,"['uvkh66ji', 'g8bu2ene', 't0dg7y73', 'kti44f0h', 'nftf171a', 'tph5n7ak', 'j7vyt4xc', 'urxr3xgp', 'l78k0xda', 'anedg12x', '2r101v54', 'uyyd1m1p', '9sx2jrit', 'uaonz8yr', 'g4dc0dxs', 'zdlw173p', 'geesc6xx', 'hfdr3wnf', 'kylyyxb5', 'kt9t3cxs', 'f6ikfoe8', 'areh42n6', '9kdhfujy', 'a22s8xyz', 'zu2jrptn', 'tgch8dhi', 'b9j268n4', 'zej99y5x', '08vsaov7', '2l4xxu3v', 'heygj90y', '7i7l6x82', '97n1j0jj', 'gaaum467', 'i5bwwm3p', 'i6piuz3d', 'p1ma4akz', '5twg78n8', 'ak5q5px1', 'jcu3pasy', 'kkh04kv8', 'pg466dan', '9of9gijc', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', '8nwwj52j', 'jqm3qyfm', 'ol0bj3hs', 'lhszl8i5', '5ufgrlnq', 'sjcib2vi', 'btfz6ye8', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'g8bu2ene', 'ijceqi3y', '0kxo3a4q', 'q0yqnlyl', 'ekkoa87k', 'ro1wrvf8', '6jzkxubq', 'ejg393zs', 'nksd304u', 'w32i3vbr', 'konm26x5', '076qek8o', 'vfdvrekv', 'yja3wzgg', 'hicqy5sj', 'tkyngspy', 'oalp8ty7', 'fqvj56jl', '7uk3nit7', '1dkmfnpf', 'ghekwo95', 'luq2yg40', 'vuvgi8xx', 'v0ftt9j6', 'tc1qo2k0', '5pvln91x', '741tonlc', 'nczwf5ky', 'rmbavm9i', 'sub4i9lr']"
Can Vitamin C Protect You from COVID-19?,"['9cf4evde', 'i1lspg8i', '2ns15472', 'ybwxrlji', '28nv3b8a', '7c7slfbp', 'w9gkai3r', 'xyiveitv', 'ixfrg8yq', 'i2grfr3u', 'wzxorv0a', 'ux844b25', 'lqyph1au', 'ig7c68d5', 'ks0lbmtf', 'dhwwhsgb', 'tc13gzi6', 'amg5dice', '3rbdzdo9', 'k3q1u273', 'e2wl65lz', 'hs3alptx', 'i3zyvyaf', 'icwb535n', 'o1uu9hmm', '9rg98djw', 'rn5gn7pw', '4ce1io1h', 'hcuxj2k7', '29wn8kaw', '5uns8rbj', 'qd0m9aeg', '8fu7w0be', 'qbhwfyrr', '04ceiyko', 'd2wru211', 'ix4zo0ha', '9oy68993', 'd1k3myo5', 'aij2bkxk', '03eifdr1', 'e8mwinib', 'uyu2buo1', '536u0bo4', '1jcwfu8n', 'dlj1h29u', 'g2cv4mx1', 's4btflk6', '1amcsgmj', 'pdr9tn9j', '4ts8ek78', 'wbuszumk', 'fxqseibh', '4y9fedcr', 'ajla989m', 'njvalb44', 'x1l9lbnz', 'l2ysm2ep', 'v1xmermm', '8hvve871', 'mspxtag1', 'wr9hkvd3', 'vbj4ki20', 'nbeuevwc', 'kqrbyrsp', 'yne753y6', 'i31tvvub', 'nb4uryxk', '2fknxsf1', 'd4sjferd', 'rvxxv1dn', 'u7q6alcc', 'iz3lou67', 'u67cuap0', 'xbfgkmnw', '0eqauqje', 'w2c01295', 'h6ztwck8', 'lxqui9dl', 'edb5546o', '1do6r4dc', 'x7j905ld', '1w5e9sm5', 'kqt43xo0', '8c56b2kg', 'qkz2vjri', 'jrcxxysz', 'osjwrlhy', '8q6mmhq0', 'x2fhnily', '6xf4o3oy', 'o16kpx9s', 'zan9de8q', 'zsp5v8hv', 'fe7e60dl', '4kf94k7p', '7jmc7e0d', '2aekeywi', 'oxag2dpr', '7ou7faz8']"
Vitamin Deficiency May Raise Risk of Serious COVID-19,"['4vfk99f5', 'lqrkwlnb', 'pm6c0l4k', '8dgngwmw', '39saijjp', 'n5xzy79a', '9cf4evde', '4qxh85c0', 'iud5sism', 's5lailkp', 'bujydnde', 'ub718jpv', 'rllkebgc', 'pvnx2656', '29qw1tlu', 'dbujiqb1', 'qtpd3jj8', 'op10q8r9', '8zqkel14', 'rtkb45lx', '69hrysia', 'qabaolje', 'wzxorv0a', 'r0qpcdb9', 'h1wycwxc', '6x6pj7jx', '75o5c0cj', 'wfz010d5', '27f9241x', 'z91sksce', 'x12d2ewc', '4oqqchsm', '4ulba7f6', 'p38x1q8s', 'j018pznz', '3faivwdo', 'xhpd9ifa', 'lobhurai', 'rirzes0m', 'cafp12hs', 'mgifvqbl', 'euzvhtax', '652vzlq6', 'ainfp3vx', '5342lyeu', '1eo7d6f0', 'kvezhyt5', 'pkj3xy9b', 'x12d2ewc', 'x12d2ewc', 'x12d2ewc', 'x12d2ewc', 'x12d2ewc', 'x12d2ewc', 'x12d2ewc', 'x12d2ewc', 'x12d2ewc', 'x12d2ewc', '9zpcsma3', 'bq9ok8h1', 'xv7vuypd', 'yxxhgdqn', 'x12d2ewc', 'x12d2ewc', 'x12d2ewc', 'x12d2ewc', 'x12d2ewc', 'x12d2ewc', 'zxtbnyho', 'e8mwinib', 's952oj2p', 'h2ahzau7', '8fu7w0be', 'y2fkkpst', 'ik1uz20j', 'y69w57wq', 'dmgd99d6', '8ol2x0hb', 'd2wru211', 'og8p5guq', 'vu7lwypg', 'wuclekt6', 'qnlf5qfd', '92tvskxw', 'um8e05j7', '6ipzvryb', 'qxiqdpj6', 'x9iazkqt', 'ma7u2ioa', '5rxmw7ws', 'mspxtag1', 'dc8z4jzo', '579oo06i', '1zcyz4xz', 'gtp01rna', 'iweyaq46', 'tug2t7dm', 'c1fbl96j', 'zzzu24gs', '1ui0p8eu']"
"do surgical masks actually prevent the spread of COVID-19? No, absolutely not.","['8z6nmmyq', 'bmohyxnk', 'iok3oscr', '1vcc1khg', 'dk8btsd1', 'y3tyb3bf', '2tak1u80', 'ritil42o', '3fkg2a6v', 'db6v37hj', 'astxi4el', '7zdi0y2s', '6l87y6jg', '6rrj1s1d', 'fonn8xgd', 'fi8fgynm', 'k8rx6tfo', 'r5du3x4v', '59eapeu6', '0l78gpg3', '5oyhm3a7', 'j0lpy07l', '3df1gdeb', '9uxfxry4', 'ygvg9jfe', 'quds09t4', 'ee63wosv', '39riybow', 'ntfa1tcs', 'ropgq7tr', 'hl956i02', '9pb2eqoa', 'kshjqsdj', 'ryh1wrfm', 'fpps1ux6', 'kghat9vp', '6vnhhvpa', 'jlahpe3b', 'w092ygj6', 'hq0owf31', '7uk3nit7', 'n14q32r9', 'njei8dj8', 'lncsfohg', '9t2xhnex', 'x51jorbm', 'iynumlk0', 'mnjy6bq2', '1q8tqeg7', '1098kzrt', 'b4gk1pvd', 'qt6mrbwa', 'uzdbibf5', 'b4znk2wr', 'fglghjy6', '7azerrez', 'x9sfgtim', 'zjhf11j5', 'oyxkzzs8', '9ezhwvv9', 'p8lu5mc0', '3glb1ag4', '7zngkwoh', '966uxeqa', '614cr5th', 'o71haprj', '334hmwmj', 'z70oduir', 'bdh9ctpa', 'no8bgglk', 'zv4jnvy1', '4frv2vb7', '3gjgbt0p', '28utunid', 'hiierdmt', '019lj813', 'f7rcijh4', 'gzrjca1l', 'g4vgsg5w', 'c2nkp1gq', 'u9nazua8', 'qhffzj72', 'v1xmermm', '4fun73ne', '2otax3zq', 'zvm7c47i', '75pu449b', '58d8kfdf', 'ye7l5p8k', 'dt2pew66', 'r6dkcq1c', 'cerqbsox', 'gmofvknn', 'rrxgr909', 'o5esfwf4', 'zzumi9h5', 'djpwtaow', '39toolzt', '0en2sl3q', 'xbjr0svq']"
not all masks confer equal levels of protection,"['zemns7wd', '1vcc1khg', '29vynklv', 'mzon01fd', 'r3tzp8pa', 'hf6axnuh', 'i21wf67n', 'qc1zg6wo', 'li6xz9gt', '38uc8wat', 'st475jw7', 'bhe34dky', '2tak1u80', '6cfuzqri', 'fim1ceko', 'b27xeyy3', '4gajban9', 'oeygjnt3', 'k23ltuvp', 'ygvg9jfe', '0s2gow7a', 'dukauzbf', '7dafsxp9', 'z9jnljrt', 'm8r0tpof', 'rh9h2rtz', 'lncsfohg', '8arzvh2l', 'qea4b0i5', '7azerrez', 'ocpdwzrd', '9lzuu2ps', 'gin90aef', 'lgtgs4fy', '8hon8anb', 's4dpghpe', 'mtpbzgr9', '7vsdqhi0', '470r0ies', 'gey0nidn', 'limnbpst', 'e4evmeil', 'jerxjqma', 'wva3oluy', 'ieyk26zk', '91bxtc14', 'rkdvds4t', '0l78gpg3', 'gprvoecp', 'xwuqcmyd', 'kfjfhe1g', 'ohj8qxx4', 'wzv8n34v', '8ld4fmiv', '2flmvmdj', '1r6eg1hh', '39riybow', 'sg2m3bcm', 'ryh1wrfm', 'okh6i4l1', '3i2jp5vg', '3894l9qi', 'quds09t4', '397m2zpp', 'nv2ebnly', 'lgdmlies', '7e4yu2do', 'mug5g92f', '59eapeu6', '88r4y7nk', '9ccgpihm', 'f6anradb', '4sitkqkm', 'rp78ypy6', 'sovaxcu8', '4mxt8vm2', 'brj111p2', '9pb2eqoa', 'qa0r2u39', 'q9tycobt', '8cisizxh', 'hwvb979y', '3riiuyop', '51thatw6', 'th2edwh4', '48sroc4r', '397m2zpp', '397m2zpp', '397m2zpp', 'a203p26f', 'l0mgm1i5', 'wwakeu8e', 'ocb8wbhc', 'ntfa1tcs', 'zu0ubwfq', 'im5bc10r', 'zk7fsft3', 's4t1pa76', 'ys7azmv7', 'jkoegawm']"
Several recent studies have looked at the impact of vitamin D on COVID-19.,"['rwiur1wh', 'rgh1r8qt', 'dbjpw9vg', '73c66c6h', 'vpodtbjk', 'ix7q2nxn', 'q5bbura7', '82myb5ao', 'fnam1vu9', 'i3f24wut', 'cloeomqq', 'w4ze158q', 'c4nlyjiz', 's26ehas6', 'o9jrned0', '1c2fqbv1', '1f2sk7cm', '86j5nx7c', 'qsg18lbc', 'fwtymzo1', '9dnyog5i', '998n5g4p', 'z6cp42aa', 's5xgbzx1', '968tbqo4', '9m39fb88', 'ndfoppoq', '43i5gkqs', 'mbn0rdv3', 'wfz010d5', '86o2iard', 'cfztliqj', '81kxvj9o', 'lo6u1buy', 'hina8545', 'z3teb4al', 'dbujiqb1', 'f6vspygt', 's4rchkyh', 'mvq6353a', 'qhhuhh4k', 'wnjuadks', 'vk346l7e', '9kjxkcwu', '58va9ae8', 'vu7lwypg', 'w65x0q0z', 's5284unz', 'by4aefjc', 'q8d7rvnj', '4i2ssdp3', '92p8dmha', 'zc1mojf2', '0szlsvf4', '8fu7w0be', 'e6fs52v8', '89gu0ukb', 'm53j5sxg', '588kdhle', 'dueignot', 'fb72pr62', 'q2l53631', '6ipzvryb', 'egntml7e', '3cz34tk4', 'k5wgizj2', 's4pyk264', 'fwuerjru', 'edb5546o', 'o9qsd633', 'wr9hkvd3', 'b0ny7mxf', 'gs3r6en8', 'jvyr7pq4', 'xaoh4929', 'mspxtag1', 'x3aegz8v', 'igroqbpc', 't4k5csgy', 'gncmygda', '9of9gijc', 'qslc2wry', 'qmrgkkpr', 'v8hzfc36', 'rpmmadqc', '9fxmgti1', '0evt7ggx', 'jdxkk438', 'p1um6rn8', 'plf6zcrg', 'arvxidyo', 'cvouxqxy', 'hch5nywa', 'g1f06b8g', '8iyynbup', 'ywbj9bme', 'fe7e60dl', 'jy3km0fr', 'uby0rgh9', 'fgzrhs2i']"
One reason Covid-19 has spread so rapidly is that people infected with the SARS-CoV-2 coronavirus can show no symptoms of disease and yet are still contagious - they don't look or feel sick but still transmit the virus without realizing.,"['gwm36n75', 'z8layttj', '000tfenb', 'ooawe55n', '4cbjbo7t', '98umk3e8', '6psbuo4q', 'sltv66cy', 'bbhf4qus', '5v19qmri', '5xj59r2s', 'laeocs3j', '5hei9fac', 'urxr3xgp', 'k4l73qds', 'lclpuqvw', 'fb2igfbk', '4lebw8ap', 'yqeifpoy', 'i5c6nf18', 'bc2sz3ce', 'ihd30qi0', 'y5rvnyuz', '51n5mnjb', 'l59vegn4', 'tbk2iqq4', 'svo94kuo', '4qdh4cgu', 'atisrhas', '5i6ktjcr', 'neba2o7n', 'v0631d43', '7n6pva1l', '08nuc7fc', 's7uqawbd', 'igbq8ckv', 'm6f3soiz', 'j0al0k7r', 'i0x3s5dt', '2akskxmn', 'zwf26o63', '3oovwwem', 'hygwcj5c', 'ui8apeiv', 'dcs1rgd0', '87i01hsi', '20phdc4u', 'b61alj5x', 'u2km9sut', 'ucipq8uk', 'er3zmcz2', 'j22tv9r6', '4sfgha4z', 'qxy2xb5h', 'k9t6df6z', 'ds406xad', 'py3mvw6y', 'i82rkuz9', '89i86gmu', 'gh84kgcg', '7he8entt', 'jqkc7849', 'jj6olsl7', '6sa3nso6', '04bi0d50', 'mipj57ze', '6d2mn5ok', '4i4kdsed', 'h3imwhss', '35xqlryc', '2sjsxf96', '8u9tz2pz', 'unr4o8ra', 'hbalyfy3', 'ckvsn0ah', '7foug62h', '9bktqfde', '30pl5tx3', '86vzsrym', 'osifkqxl', '2j37561h', 'dcifzudk', '4omocd8q', '8gqhibso', 'ux85tuny', '6bq3g51s', 'pbxs2hmz', 'e56ry1x4', 'nz36i2oa', 'jnimavg5', 'macqp9k1', '85chebix', 'mqqbqsan', '5li3krok', 'o2qo7n8n', '18kl8jiy', 'vb8zzgi3', '034unnbe', 'gcxz3we0', 'k52tkf1z']"
Low Vitamin D Levels Tied to Odds for Severe COVID,"['73c66c6h', 'rgh1r8qt', 'fe7e60dl', '27oqmd89', 'fm5h7vg0', '2a11n8rm', 'e2h4ec12', '8k7sgh8y', 'f7omk8ut', '9f7ew8uj', 'mmzyjl3j', 'ix7q2nxn', '8dgngwmw', 'i3f24wut', '270msv5l', 'z3teb4al', 'wfz010d5', '3cdsep63', 'lgufsc3q', 'yqglv1d6', 'qymlefgi', '7uo407nb', 'douis9un', '0r62kx2q', '27f9241x', '5x4deimg', 'bujydnde', 'z1lvq0iv', 'x4hwygcr', '9dnyog5i', '43i5gkqs', '7uo0wjxq', 'dbujiqb1', 'sq5x48fr', 'zn9j1kws', 'lo6u1buy', 'f6vspygt', 'vu7lwypg', 'bgkr1m18', 'igiwi96d', 'w8c3ma8l', 'lobhurai', 'vp13ppbp', 'tlmfn4bm', 'qtx0d5f8', 'y1nasw7k', 'xw8gwsyg', '2prrjqvj', 'd2wru211', 'kkkrkgg1', 'cfztliqj', 'iqe6sdq2', 'hfv5fl19', '72md47qn', 'y6xfnl4e', '3i90blvy', 'dc8z4jzo', '6ipzvryb', '3ajeiteq', 'egntml7e', '3x6a907w', 'sf1671hi', 'ipm58ohm', 'edb5546o', 'ncfo2v89', 'h5mb270c', 'iy20s5na', '0szlsvf4', 'w65x0q0z', '5342lyeu', '8hvve871', '0ydl9ybi', 's5284unz', '7n3f3wrz', 'dueignot', 'rzommy5p', '6biatx9e', 'jyak5z4g', '1zt9l7uf', 'oltg8m5f', 'oxwi46f8', 't4juz4kg', 'bwnbfpew', 'z1ftfsu0', 'qslc2wry', 'q2l53631', 'ftze7f5k', 'x3aegz8v', '1b7viy5o', 'osjwrlhy', 'igroqbpc', 'ftbtkhwt', '11bmt4i3', 'u9yc6loh', 'oedkaf75', 'c5k1h7ac', 'edb5546o', 'edb5546o', 'edb5546o', 'edb5546o']"
studies have shown that a deficiency of the nutrient (vitamin D) is linked to higher risk of severe COVID-19.,"['zp95v63n', '340ngi4p', 'zi86r481', '9zd88mba', 'elmrvpxd', 'i6vc465y', 'n4dgqo73', 'vjxmrmfc', 'pgo8a33y', 'cjon7ihb', 'hswuwtod', 'yl6phd5i', '95zmrxh9', 'bc2sz3ce', 'c8x1dsl1', 'g1roodi5', '6v3mk60p', 'phxu6usy', 'eas75gr6', '2twm4hmc', 'mx4t6s6n', '0v13qcuo', 'ihinqmig', 'cio86j4i', 'gjmvw8l2', '3tbje4ix', 's5xgbzx1', '9eug7szt', 'r3rlykli', '4gjzbroq', '3kktelw2', 'dmbc8kb4', 'o9qg2qta', 'vhf7c7ec', 'lfdeowsl', 'c674wkmt', 'hifkemrk', '39syhbwa', 'cfw9egzd', 'xbmmp7mu', '63160t7f', 'uu2ikf18', '0rzvvqvi', '4cipqqwa', 'zfwrxgji', 'pgxew3yk', '1vrjzo4f', '8p5chz08', '0rmuvb5i', 'wfz010d5', 'qnf7qfjf', 'vl7yqnlg', 'ge871ypq', 'ka4z4u9d', 'utzqdix7', '0tsefy6p', 'v2f4x1wh', 'q8d7rvnj', '6iuqv71f', '8vjg5zcg', 'pdvqdgsw', 'n0d9b50t', '4voov33i', 'a0ft6wdy', 'w5mjwfep', '4r17ands', 'jmjzs4uc', '6pndpjrt', 'f6tr0ntz', 'iabithts', 'xbvk9maa', 'plfjkp5f', '2bjn0fmr', 'mch4wbui', '9y82fxw4', 'fi2f3agd', 'mspxtag1', '0iezi9h0', '0upp8cv5', 'ot5v8n0c', 'gmawnkoh', 'e9uhe5z2', 'hjzlj8k3', 'i6sx0mns', 'f4qljghz', 'jeb5de0s', 'bnltfwyq', 'hicqy5sj', 'kt5awf8i', 'zmrv3uvp', '2xlxjq0e', 'aa7kojau', 'pph4xcqo', 'nlqz2nnh', 'rhhx5gcg', 'ppuqvafd', '8g70j0qw', '8fu7w0be', '008gkf40', 'lozkrca3']"
"If you do get COVID-19, the infection could put you at greater risk for diabetes complications like diabetic ketoacidosis (DKA). DKA happens when high levels of acids called ketones build up in your blood. It can be very serious.","['6d3z1c27', 'ka3rpwmc', '8p5chz08', 'q1wz1sgx', 'v3blnh02', '2h356o8n', '9q5u0nd8', 'fqhl1qb4', 'asnpuami', 'l46u0945', '5okcoovv', 'nfjkcmxu', 'dw2xblyr', 'qd6c1iil', 'pvruhsys', 'naqrrlcu', 'bz3d3hmh', '7gasxvwd', 'su8s56qs', 't13vx0ls', '8p30vy41', 'gnaubzah', '642pa6sl', 'agiqcmru', 'w5mjwfep', 'lcyv211y', 'es2kytwn', 'tdjkkeh2', 'uzuda3ir', 'l8bj9twb', 'stmo4b0g', '406dfdih', 'uyarxbdo', 'rpyn5lrc', 'd8kbkevo', 'sl909sou', 'ym8ue50x', 'jtn9d0d6', 'jkm496ip', '4dyuper0', 'mn596x1p', '7clanz65', '8643awab', 'onv6xcny', 'ssv1arr1', 'ci3k93j2', 'xoo03nnp', '78bf86g3', 'x3quaut0', 'yjugtbg1', 'hlhhvmtu', 'zkwwn2si', '2514emrh', 'i8nag5di', 'tnk90td6', 'o6jdxsns', 'xv7xonw6', 'bvksvy6u', '9uymi395', '9mf9ylde', 'jxbvsos8', 'bjq36px5', 'x9omoft6', '7i7l6x82', 'wi5wnizu', 'x0jfa1ib', 'czrosdha', 'n71hyyad', 'b2tsladw', 'vyzy6lmg', 'dvrstz6f', '4ti8l2ea', '97j1gt5k', 'r3k3yq24', 'u90n9fve', 'x1br3yxa', '66a0sj6g', 'lt0txpz7', 'd9hjpbww', 'quoa363m', 'vte52lah', 'bq7460ca', '2ct51ggq', '2wxd9sv6', '2tohg1he', 'dspx4o3k', '7c0cww88', 'daa79eln', 'qpck2ae0', 'pgzogpa2', 'vish6v8e', 'q9njlcy8', 'z4p2z2qy', 'gfx7zi53', 'lpj385aj', 'icwhpbpj', 'vwslgb1f', '06x0cei2', 'hlnjp7v6', 'nih2cnnz']"
"COVID-19 Primary, Not Only, Cause of 94% of Deaths","['in8lt2md', 'ldrbc4wt', '4o9vft91', 'nl0ut2y7', '1istx1pj', 'jljykg4e', '36el91lg', '5aiwhvsv', 'is22i0qm', 'jdfwchpo', 'scc9wee0', 'u88bne37', '2j3kdvva', '32pkif1t', '5nnq02kl', 'pep4opiq', '8tk6wl27', 'yp5d29fk', '61ta81iy', '1m7uhjwp', 'jv0vdgdl', 'x1v4jpl4', '1ujwzx87', 'nx14wrab', 'xag08e8h', 'cmew26m3', 'hy2wkp62', 'eidytvd6', 'srxjkp0v', 'gsqzmuj5', '2nwmg7il', 'xhdqe7hh', 'q0uga683', 'ksu2gjyb', 'dlcb21in', '5n84thb6', 's3zfz24h', 'nuujqrvm', 'vew4uxu4', 'fije7qyo', 'qudwfpe8', 'q1yz9y8k', '9vsi8hfx', 'g16f9s48', '92tvskxw', 'h9ayg6vf', 'owgs9n9z', 'u86bdmvf', 'ag939cca', '8a3bpa4k', 'uxyb4vih', '7nymwn2q', '90a9rhsh', 'n4kke717', 'dpa8zzc3', 's7fzex7v', 'vmnzlbxd', 'oo3v20vl', '107tikwq', '0hrwqho8', 'lqed8b0b', '7fc3nwxt', '76ccrlgk', 'dgf3qmdu', 'mr31smpe', '7jmnwpq6', 'eg0syz2w', 'fanatrfo', 'yg3bktcy', 'p9y58ou3', 'enir91hn', '5px6tceq', 'uaknqa54', '90fx0ud4', 'ly8d6s7t', 'j1gztnxt', 'z2f2vl12', 'a7yq1zu0', 'grndfx7b', 'xo5u02d7', 'kguhgpjp', 'mz3cvc0p', 'panxau5k', 'edj6hm89', '8cw12q7i', 'xvlpkhsq', 'fnbutwlk', 'ptcszbow', 'd3b24iis', 'zrz6jyma', '9ql5juo9', 'o56bmedx', 'q08esa7u', 'fbm3zoe2', '9k1fm84p', 'iqe6sdq2', 'nr3t92y5', 'hs9cfdsu', 'bnnw8cpn', '6xj9s4ee']"
wet weather can kill the new coronavirus,"['2j56et4p', 'dcihyqhs', '0x4zrfw3', 'rwpblz02', '4178ui2c', '4m3ajc8a', '0pfdhbg7', 'cdti2ovv', 'tl0hh5mf', '5lf5azxj', 'f1sk8t03', 'jlwctmxw', '0p480zhb', 'o72ls2my', '7ovfb4mm', '18c4jg0y', 'hra8otj5', '49xnrbro', 'gfqe14sc', 'wlnss6bg', 'gnbpngef', 'scx045c5', 'n1nh1fhu', '83agoh02', 'uzfzopz5', 'gmbxwup2', 'tqnwk4o6', '26gf4q1v', 'vpp528bd', 'd1nh2dvb', 'y13gz4wz', 'ihhs7btc', 'uxcdwxpc', 'esjfhztp', '0qaoam29', 'kvyvwhja', 'j5souh82', 'kpcb2vy4', 'lv8dvdp7', '3d1wmmby', 'jh04b55m', 'k5qkdlvf', 'cqbayzat', 'jdfwchpo', 'tyhtdawb', 'e4lu76oa', 'zdk771mn', '68701iad', '73q9w1py', 't727v0zt', 'n80jy8zl', 'g4f6urmf', 'wdxa92md', 'xiabqdh7', 'p6nxkn0n', 'in8mbp7c', 'wh0wgi69', '24pp67fw', 'asa4si5f', 'sjt32g6l', 's0bfhwtn', 'kgjqg1rb', '7fcoq9bv', 'kpcb2vy4', 'kpcb2vy4', 'kpcb2vy4', 'kpcb2vy4', '0mu67f0w', 'y0np2ipv', '92wlte0o', 'pslavrax', 'ttubw8br', '5iwgebvp', 'qs54f89h', 'dbuy7vvw', 'hycg5hip', 'na8xecga', '04rbtmmi', 'ttfmm946', 'liaz5fzf', 'g5rf10n5', 'xhdqe7hh', '0pujch9v', 'yedqxnk3', '9vtvtob7', 'ws4aqppe', '4y9q43xb', 'ilimfz5t', '39yvniki', 'oyxkzzs8', 'r141na6j', 'zcazhkad', '6cz0opsf', 'ax20ln0t', 'f53i4n02', 'du4m9nyb', '0vlzwksu', 'agchvvx9', 'g0v43z1o', '122hvg26']"
"Coronavirus deaths in people with diabetes Data from NHS England in May showed us that, for those who become so unwell with coronavirus that they need to go to hospital, the risk of dying is higher for people living with diabetes than people without the condition.","['x7or04u6', 'rhoo2k3r', 'l46u0945', '1th53v4l', '57xo2rke', 'dad6hk9h', 'avqa4wmw', 'tpkl3x02', 'afzjx2ci', 'ka3rpwmc', 'yod32mhs', 't7ae25tb', 'cg7mx0fw', 'mma2t8oa', '43fuh63u', 'i4t1jq29', 'j8q6n9cs', 'r4srd3az', '5vj1t828', 'j5glp7xc', 'c41w4qc7', 'ey0xeo48', 'p536yuvi', 'nakss8ag', 'nc7dj2ll', 'qzev2reb', '9hq39ytc', 'ibpyqrq4', '4e4zsh8a', 'ifmwfm43', 'ipui7lo6', 'dgl7qapx', '4fqsx5y5', '5eid1zcx', '8ydwzl4z', 'fevqi98b', 'k5ro0edf', 'moi0hu6l', 'a7npp99p', 'eb7i3cip', 'fbpcc14l', 'j5glp7xc', 'j5glp7xc', 'j5glp7xc', 'j5glp7xc', '2tax8ajw', 'f0lo04qq', 'c2jm0g88', 'skknfc6h', 'p5ixvjd7', 'j5glp7xc', 'j5glp7xc', 'j5glp7xc', 'j5glp7xc', 'j5glp7xc', 'j5glp7xc', 'j5glp7xc', 'j5glp7xc', 'j5glp7xc', '8xng0p4d', 'f5n1xyyt', 't6tupe24', 'ean2xrnf', 'gfx7zi53', '0b47aobp', 'jiisak9a', 'tlyurwz6', 'll7ig5yz', 'ncnrybdy', 'z0t43pmx', 'zzl8t9o9', 'b3ca4qh5', 'roglm8r8', 'r7qqeqpz', 'hnxv6az1', 'p3qsn8di', '9c9un6xj', '9lft1r0b', 'k9qiwy1b', '676tm8ew', '2ly18d15', 'io2f52kn', 'jeb5de0s', 'b4n036bt', 'nivcea89', '8z6qs443', '89ovdnxl', 'vg96f35h', 'bq7460ca', '2rudgcl4', 'yxtf8r2j', '8n35gazc', 'lujxql3a', 'ayi1m7rk', 'bevg0mdx', 'k9p82pt5', '9pdg9l4o', 'zcdkohu6', 'x0au9fe3', 'u2km9sut']"
Duo of antiviral drugs strongly inhibits SARS-CoV-2 in the lab,"['7k3xnw9i', '12th7nja', 'a4oibkt9', 'mv0zxl4w', 'bkh2reye', 'kv75prfw', 'uyj1629m', 'abpge1fb', 'gyxwwcmg', '2j56et4p', '4178ui2c', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', '6p7ve23b', '1a6guo10', 'urpianz6', 'shn22k0s', 'qxdakdk0', 'u7bv56cr', 'ljosmial', 'btxa0tps', 'anedg12x', '4ks8vpud', 'w8ta2qgh', 'b5hj2phh', 'u87lx38h', 'ihj102hi', 'd4yidznm', 'xk4061x0', 'rliof4zj', '5f95gve3', 'hfdr3wnf', '5hpbjkft', '09r4d3nu', 'bq0hm89l', 'rljz6xv0', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'mv0zxl4w', 'pifvgngo', 'itz0bdrc', 'nmwdjfzb', '7ovfb4mm', '2y49kcwu', 'ghrlj6b2', 'ul2ctjv6', '8f6gpdy2', '8wo06q83', '601k88xs', 't8wf55x5', 'vzyrcmu4', 'atmtwob2', 'zuxdnaon', 'hg9i6v26', 'slouuryl', 'qsd49pvm', 'zae8tg6d', 'ddudwpqe', 'fo07nxvi', 'ngxy58tg', '87mjdccj', '10mfk3lx', 'hlm2eg0t', 'upbz2lma', 'dqxfcwyu', 'ip092sys', 'sta4cf3o', 'qujtxkxn', 'tgcqe5v2', 'rirbg1he', 'vnrv5cmc', 'ddft3c20', 'mvqnh5h2', 'j8n06hzx', '4yzmv2bm']"
